GO No.,GO Date,GO Description,Issued by,Gazette Week Date,Pg No
82/UCL-LA/1/2002,2005-01-07,Regarding Election Petition No.1 of 2002,S.K.Kaura(Secretary),2005-01-07,1
82/UCL-LA/1/2002,2005-01-07,Regarding Election Petition No.1 of 2002,S.K.Kaura(Secretary),2005-01-07,1
76/UCL-HP/2004,2005-03-07,Disqualification reason and candidates name with constituency.,S.K.Kaura(Secretary),2005-03-07,1
76/UCL-HP/2004,2005-03-07,Disqualification reason and candidates name with constituency.,S.K.Kaura(Secretary),2005-03-07,1
56/2005(i)JUD-III,2005-03-24,Election Symbols Reservation and Allotment.,K.F.WILFRED(Secretary),2005-03-24,1
56/2005(i)JUD-III,2005-03-24,Election Symbols Reservation and Allotment.,K.F.WILFRED(Secretary),2005-03-24,1
76/UCL-LA/2004(Bye),2005-04-07,Disqualification Reason and candidates name with constituency.,S.K.Kaura(Secretary),2005-04-07,1
76/UCL-LA/2004(Bye),2005-04-07,Disqualification Reason and candidates name with constituency.,S.K.Kaura(Secretary),2005-04-07,1
56/2005/JS-III,2005-05-14,Election Symbols Reservation and Allotment Amendment.,K.F.WILFRED(Secretary),2005-05-14,1
56/2005/JS-III,2005-05-14,Election Symbols Reservation and Allotment Amendment.,K.F.WILFRED(Secretary),2005-05-14,1
56/2005/JS-III,2005-05-14,Election Symbols Reservation and Allotment Amendment.,K.F.WILFRED(Secretary),2005-05-14,1
576/3/EVM/2005-JUD-II(LA),2005-09-05,Regarding Votes by means of EVM.,K.F.WILFRED(Secretary),2005-09-05,1
576/3/EVM/2005-JUD-II(LA),2005-09-05,Regarding Votes by means of EVM.,K.F.WILFRED(Secretary),2005-09-05,1
576/3/EVM/2005-JUD-II(LA),2005-09-05,Regarding Votes by means of EVM.,K.F.WILFRED(Secretary),2005-09-05,1
576/3/EVM/2005-JUD-II(LA),2005-09-05,Regarding Votes by means of EVM.,K.F.WILFRED(Secretary),2005-09-05,1
56/2005/JS-III,2005-09-19,Election Symbols Resevation and Allotment for National level and State Parties.,K.F.WILFRED(Secretary),2005-09-19,1
56/2005/JS-III,2005-09-19,Election Symbols Resevation and Allotment for National level and State Parties.,K.F.WILFRED(Secretary),2005-09-19,1
56/2005/JS-III,2005-09-19,Election Symbols Resevation and Allotment for National level and State Parties.,K.F.WILFRED(Secretary),2005-09-19,1
56/2005/JS-III,2005-09-19,Election Symbols Resevation and Allotment for National level and State Parties.,K.F.WILFRED(Secretary),2005-09-19,1
607/Vidhayee avam Sansadiya/2005,2005-10-31,Uttaranchal Fiscal responsibility and Budget Management Act-2005.,U.C.Dhyani(Secretary),2005-10-31,1
62/18(1)/2005,2005-12-28,Rajya Matsya Palan Vikas Abhikaran.,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,3
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
556/1(49)/4/XXVI/2005,2005-11-25,Regarding Bhagirathi Nadi Ghati Vikas,Amrendra Sinha(Secretary),2006-01-07,5
556/1(49)/4/XXVI/2005,2005-11-25,Regarding Bhagirathi Nadi Ghati Vikas,Amrendra Sinha(Secretary),2006-01-07,5
1786/XXVIII-2-2005,2005-12-28,Name Change Km. Sangeeta Kathait,S.Raju(Secretary),2006-01-07,15
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
1786/XXVIII-2-2005,2005-12-28,Name Change Km. Sangeeta Kathait,S.Raju(Secretary),2006-01-07,15
62/18(1)/2005,2005-12-28,Rajya Matsya Palan Vikas Abhikaran.,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,3
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
15/8/XIII/2005-3(05)/2001,2005-11-25,Regarding Appointment,Om Prakash(Secretary),2006-01-07,4
